"arabic","brazilian","bulgarian","czech","danish","dutch","english","finnish","french","german","greek","hungarian","italian","japanese","koreana","latam","norwegian","polish","portuguese","romanian","russian","schinese","spanish","swedish","tchinese","thai","turkish","ukrainian","vietnamese"
"اضغط بالزر الأيسر على الكتلة العادية: تمييز اللغم كعلم","Clique com o botão esquerdo em um bloco comum: marcar mina como bandeira","Ляв клик обикн. блок: мина маркирай като флаг","Levý klik na běžný blok: označit minu jako vlajku","Venstreklik på almindelig blok: markér mine som flag","Klik met de linkermuisknop op een gewoon blok: markeer mijn als vlag","Left-click regular block: mine mark as flag","Klikkaa vasemmalla tavallista palikkaa: merkitse miina lipulla","Clic gauche sur bloc ordinaire: marquer mine comme drapeau","Linksklick auf normalen Block: Mine als Flagge markieren","Αριστ. κλικ συνηθ. μπλοκ: σημαία σε μίνα","Bal klikk normál blokk: akna jelöl flag-ként","Clic sinistro su blocco normale: segna mina come bandiera","通常のブロックを左クリック：地雷を旗印としてマーク","정상 블록을 왼쪽 클릭: 지뢰를 깃발로 표시","Clic izq. en bloque normal: marca mina como bandera","Venstreklikk på en vanlig blokk: merk mine som flagg","Lewy klik na zwykły blok: oznacz minę jako flagę","Clique esq. em bloco normal: marcar mina como bandeira","Click stânga pe un bloc obișnuit: marchează mină ca steag","Левый клик по обычному блоку: отметить мину флагом","左键点击普通方块：将地雷标记为旗帜","Clic izq. en bloque normal: marcar mina como bandera","Vänsterklicka på en vanlig ruta: markera mina som flagga","點擊左鍵普通方塊：將地雷標記為旗標","คลิกซ้ายบล็อกปกติ: ทำเครื่องหมายที่ระเบิดเป็นธง","Normal bir bloğa sol tıklayın: mayını bayrak olarak işaretleyin","Лівий клік по звичайному блоку: позначити міну як прапор","Nhấp chuột trái vào ô bình thường: đánh dấu mìn là cờ"
"اضغط بالزر الأيسر على كتلة السؤال: تمييز اللغم كعلم","Clique com o botão esquerdo em um bloco de pergunta: marcar mina como bandeira","Ляв клик въпр. блок: мина маркирай като флаг","Levý klik na otazníkový blok: označit minu jako vlajku","Venstreklik på spørgsmålsblok: markér mine som flag","Klik met de linkermuisknop op een vraagblok: markeer mijn als vlag","Left-click question block: mine mark as flag","Klikkaa vasemmalla kysymyspalikkaa: merkitse miina lipulla","Clic gauche sur bloc question: marquer mine comme drapeau","Linksklick auf Frageblock: Mine als Flagge markieren","Αριστ. κλικ ερωτ. μπλοκ: σημαία σε μίνα","Bal klikk kérdő blokk: akna jelöl flag-ként","Clic sinistro su blocco domanda: segna mina come bandiera","質問ブロックを左クリック：地雷を旗印としてマーク","질문 블록을 왼쪽 클릭: 지뢰를 깃발로 표시","Clic izq. en bloque pregunta: marca mina como bandera","Venstreklikk på en spørsmålsblokk: merk mine som flagg","Lewy klik na blok pytania: oznacz minę jako flagę","Clique esq. em bloco pergunta: marcar mina como bandeira","Click stânga pe un bloc cu întrebare: marchează mină ca steag","Левый клик по блоку с вопросом: отметить мину флагом","左键点击问号方块：将地雷标记为旗帜","Clic izq. en bloque pregunta: marcar mina como bandera","Vänsterklicka på en frågeruta: markera mina som flagga","點擊左鍵問題方塊：將地雷標記為旗標","คลิกซ้ายบล็อกคำถาม: ทำเครื่องหมายที่ระเบิดเป็นธง","Soru işaretli bloğa sol tıklayın: mayını bayrak olarak işaretleyin","Лівий клік по блоку з питанням: позначити міну як прапор","Nhấp chuột trái vào ô hỏi: đánh dấu mìn là cờ"
"اضغط بالزر الأيمن على الكتلة العادية: تمييز كسؤال","Clique com o botão direito em um bloco comum: marcar como pergunta","Десен клик обикн. блок: маркирай като въпрос","Pravý klik na běžný blok: označit jako otázku","Højreklik på almindelig blok: markér som spørgsmål","Klik met de rechtermuisknop op een gewoon blok: markeer als vraag","Right-click regular block: mark as question","Klikkaa oikealla tavallista palikkaa: merkitse kysymykseksi","Clic droit sur bloc ordinaire: marquer comme question","Rechtsklick auf normalen Block: als Frage markieren","Δεξί κλικ συνηθ. μπλοκ: σήμανση ως ερωτ.","Jobb klikk normál blokk: jelöl kérdésként","Clic destro su blocco normale: segna come domanda","通常のブロックを右クリック：質問としてマーク","정상 블록을 오른쪽 클릭: 질문으로 표시","Clic der. en bloque normal: marcar como pregunta","Høyreklikk på en vanlig blokk: merk som spørsmål","Prawy klik na zwykły blok: oznacz jako pytanie","Clique dir. em bloco normal: marcar como questão","Click dreapta pe un bloc obișnuit: marchează ca întrebare","Правый клик по обычному блоку: отметить как вопрос","右键点击普通方块：标记为问号","Clic der. en bloque normal: marcar como pregunta","Högerklicka på en vanlig ruta: markera som fråga","右鍵點擊普通方塊：標記為問題","คลิกขวาบล็อกปกติ: ทำเครื่องหมายเป็นคำถาม","Normal bir bloğa sağ tıklayın: soru işareti olarak işaretleyin","Правий клік по звичайному блоку: позначити як питання","Nhấp chuột phải vào ô bình thường: đánh dấu là dấu hỏi"
"اضغط بالزر الأيمن على كتلة السؤال: إلغاء تمييز السؤال","Clique com o botão direito em um bloco de pergunta: desmarcar pergunta","Десен клик въпр. блок: отмаркирай въпрос","Pravý klik na otazníkový blok: odznačit otázku","Højreklik på spørgsmålsblok: fjern markering af spørgsmål","Klik met de rechtermuisknop op een vraagblok: ongemarkeerd vraag","Right-click question block: unmark question","Klikkaa oikealla kysymyspalikkaa: poista kysymysmerkintä","Clic droit sur bloc question: démarquer question","Rechtsklick auf Frageblock: Fragezeichen entfernen","Δεξί κλικ ερωτ. μπλοκ: αποεπιλογή ερωτ.","Jobb klikk kérdő blokk: kérdőjel eltávolít","Clic destro su blocco domanda: rimuovi domanda","質問ブロックを右クリック：質問マークを外す","질문 블록을 오른쪽 클릭: 질문 표시 제거","Clic der. en bloque pregunta: desmarcar pregunta","Høyreklikk på en spørsmålsblokk: fjern spørsmålstegn","Prawy klik na blok pytania: odznacz pytanie","Clique dir. em bloco pergunta: desmarcar questão","Click dreapta pe un bloc cu întrebare: demarchează întrebare","Правый клик по блоку с вопросом: снять отметку вопроса","右键点击问号方块：取消标记问号","Clic der. en bloque pregunta: desmarcar pregunta","Högerklicka på en frågeruta: avmarkera fråga","右鍵點擊問題方塊：取消標記問題","คลิกขวาบล็อกคำถาม: ยกเลิกเครื่องหมายคำถาม","Soru işaretli bloğa sağ tıklayın: soru işaretini kaldırın","Правий клік по блоку з питанням: зняти питання","Nhấp chuột phải vào ô hỏi: bỏ đánh dấu dấu hỏi"
"اضغط على الرقم: الكتلة = الرقم، تمييز الكتلة كعلم","Clique no número: bloco = número, marcar bloco como bandeira","Кликни число: блок = число, маркирай блок като флаг","Kliknout na číslo: blok = číslo, označit blok jako vlajku","Klik på nummer: blok = nummer, markér blok som flag","Klik op nummer: blok = nummer, markeer blok als vlag","Click number: block = number, mark block as flag","Klikkaa numeroa: palikka = numero, merkitse palikka lipulla","Cliquer sur nombre: bloc = nombre, marquer bloc comme drapeau","Klick auf Zahl: Block = Zahl, Block als Flagge markieren","Κλικ αριθμός: μπλοκ = αριθ., σήμανση σημαία","Klikk számra: blokk = szám, jelöl blokkot flag-ként","Clic su numero: blocco = numero, segna blocco come bandiera","数字をクリック：ブロック=数字、ブロックに旗印を付ける","번호 클릭: 블록 = 번호, 블록을 깃발로 표시","Clic en número: bloque = número, marca bloque como bandera","Klikk på nummer: blokk = nummer, merk blokk som flagg","Kliknij liczbę: blok = liczba, oznacz blok jako flagę","Clique número: bloco = número, marcar bloco como bandeira","Click pe număr: bloc = număr, marchează bloc ca steag","Клик по числу: блок = число, отметить блок флагом","点击数字：方块 = 数字，将方块标记为旗帜","Clic en número: bloque = número, marcar bloque como bandera","Klicka på nummer: ruta = nummer, markera ruta som flagga","點擊數字：方塊=數字，將方塊標記為旗標","คลิกตัวเลข: บล็อก = ตัวเลข, ทำเครื่องหมายบล็อกเป็นธง","Numaraya tıklayın: blok = numara, bloğu bayrak olarak işaretleyin","Клік на число: блок = число, позначити блок як прапор","Nhấp vào số: ô = số, đánh dấu ô là cờ"
"اضغط على الرقم: العلم = الرقم، فتح الكتلة المتبقية","Clique no número: bandeira = número, abrir bloco restante","Кликни число: флаг = число, отвори ост. блок","Kliknout na číslo: vlajka = číslo, otevřít zbytek bloku","Klik på nummer: flag = nummer, åbn resterende blok","Klik op nummer: vlag = nummer, open resterend blok","Click number: flag = number, open remain block","Klikkaa numeroa: lippu = numero, avaa jäljellä oleva palikka","Cliquer sur nombre: drapeau = nombre, ouvrir reste bloc","Klick auf Zahl: Flagge = Zahl, Restblock öffnen","Κλικ αριθμός: σημαία = αριθ., ανοίγμα υπολ. μπλοκ","Klikk számra: flag = szám, nyit maradék blokkot","Clic su numero: bandiera = numero, apri blocco rimanente","数字をクリック：旗印=数字、残りのブロックを開く","번호 클릭: 깃발 = 번호, 남은 블록 열기","Clic en número: bandera = número, abrir bloque restante","Klikk på nummer: flagg = nummer, åpne gjenværende blokk","Kliknij liczbę: flaga = liczba, otwórz pozostały blok","Clique número: bandeira = número, abrir resto do bloco","Click pe număr: steag = număr, deschide bloc rămas","Клик по числу: флаг = число, открыть ост. блок","点击数字：旗帜 = 数字，打开剩余方块","Clic en número: bandera = número, abrir resto del bloque","Klicka på nummer: flagga = nummer, öppna återstående ruta","點擊數字：旗標=數字，打開剩餘方塊","คลิกตัวเลข: ธง = ตัวเลข, เปิดบล็อกที่เหลือ","Numaraya tıklayın: bayrak = numara, kalan bloğu açın","Клік на число: прапор = число, відкрити залишок блоку","Nhấp vào số: cờ = số, mở ô còn lại"
"التمييز = الرقم: فتح الكتلة المتبقية، إلغاء تمييز السؤال؛ الكتلة = الرقم، تمييز الكتلة كعلم","Marcar = número: abrir bloco restante, desmarcar pergunta; bloco = número, marcar bloco como bandeira","Маркирай = число: отвори ост. блок, отмаркирай въпрос; блок = число, маркирай като флаг","Označení = číslo: otevřít zbytek bloku, odznačit otázku; blok = číslo, označit jako vlajku","Markér = nummer: åbn resterende blok, fjern markering af spørgsmål; blok = nummer, markér blok som flag","Markeer = nummer: open resterend blok, ongemarkeerd vraag; blok = nummer, markeer blok als vlag","Mark = number: open remain block, unmark question; block = number, mark block as flag","Merkki = numero: avaa jäljellä oleva palikka, poista kysymysmerkintä; palikka = numero, merkitse palikka lipulla","Marque = nombre: ouvrir reste bloc, démarquer question; bloc = nombre, marquer comme drapeau","Markierung = Zahl: Restblock öffnen, Fragezeichen entfernen; Block = Zahl, als Flagge markieren","Σήμανση = αριθμ.: ανοίγμα υπολ. μπλοκ, αφαίρεση σήμανσης ερώτησης; μπλοκ = αριθμ., σήμανση σημαία","Jel = szám: nyit maradék blokkot, vedd le a kérdés jelölést; blokk = szám, jelöl flag-ként","Segna = numero: apri blocco rimanente, rimuovi punto interrogativo; blocco = numero, segna come bandiera","マーク=数字：残りのブロックを開く、質問マークを外す；ブロック=数字、ブロックに旗印を付ける","표시 = 번호: 남은 블록 열기, 질문 표시 제거; 블록 = 번호, 블록을 깃발로 표시","Marca = número: abrir bloque restante, desmarcar pregunta; bloque = número, marcar bloque como bandera","Merk = nummer: åpne gjenværende blokk, fjern spørsmålstegn; blokk = nummer, merk blokk som flagg","Znak = liczba: otwórz pozostały blok, usuń oznaczenie pytania; blok = liczba, oznacz jako flagę","Marca = número: abrir resto do bloco, desmarcar questão; bloco = número, marcar como bandeira","Marchează = număr: deschide bloc rămas, demarchează întrebare; bloc = număr, marchează bloc ca steag","Отметка = число: открыть ост. блок, снять вопрос; блок = число, отметить флагом","标记 = 数字：打开剩余方块，取消标记问号；方块 = 数字，将方块标记为旗帜","Marca = número: abrir resto del bloque, desmarcar pregunta; bloque = número, marcar bloque como bandera","Markera = nummer: öppna återstående ruta, avmarkera fråga; ruta = nummer, markera ruta som flagga","標記=數字：打開剩餘方塊，取消標記問題；方塊=數字，將方塊標記為旗標","ทำเครื่องหมาย = ตัวเลข: เปิดบล็อกที่เหลือ, ยกเลิกเครื่องหมายคำถาม; บล็อก = ตัวเลข, ทำเครื่องหมายบล็อกเป็นธง","İşaret = numara: kalan bloğu açın, soru işaretini kaldırın; blok = numara, bloğu bayrak olarak işaretleyin","Позначка = число: відкрити залишений блок, зняти позначку питання; блок = число, позначити як прапор","Đánh dấu = số: mở ô còn lại, bỏ đánh dấu dấu hỏi; ô = số, đánh dấu ô là cờ"
"التمييز = الرقم: فتح الكتلة المتبقية، تمييز اللغم كعلم؛ العلم = الرقم، فتح الكتلة المتبقية","Marcar = número: abrir bloco restante, marcar mina como bandeira; bandeira = número, abrir bloco restante","Маркирай = число: отвори ост. блок, мина маркирай като флаг; флаг = число, отвори ост. блок","Označení = číslo: otevřít zbytek bloku, označit minu jako vlajku; vlajka = číslo, otevřít zbytek bloku","Markér = nummer: åbn resterende blok, markér mine som flag; flag = nummer, åbn resterende blok","Markeer = nummer: open resterend blok, markeer mijn als vlag; vlag = nummer, open resterend blok","Mark = number: open remain block, mine mark as flag; flag = number, open remain block","Merkki = numero: avaa jäljellä oleva palikka, merkitse miina lipulla; lippu = numero, avaa jäljellä oleva palikka","Marque = nombre: ouvrir reste bloc, marquer mine comme drapeau; drapeau = nombre, ouvrir reste bloc","Markierung = Zahl: Restblock öffnen, Mine als Flagge markieren; Flagge = Zahl, Restblock öffnen","Σήμανση = αριθμ.: ανοίγμα υπολ. μπλοκ, σημαία σε μίνα; σημαία = αριθμ., ανοίγμα υπολ. μπλοκ","Jel = szám: nyit maradék blokkot, akna jelöl flag-ként; flag = szám, nyit maradék blokkot","Segna = numero: apri blocco rimanente, segna mina come bandiera; bandiera = numero, apri blocco rimanente","マーク=数字：残りのブロックを開く、地雷を旗印としてマーク；旗印=数字、残りのブロックを開く","표시 = 번호: 남은 블록 열기, 지뢰를 깃발로 표시; 깃발 = 번호, 남은 블록 열기","Marca = número: abrir bloque restante, marca mina como bandera; bandera = número, abrir bloque restante","Merk = nummer: åpne gjenværende blokk, merk mine som flagg; flagg = nummer, åpne gjenværende blokk","Znak = liczba: otwórz pozostały blok, oznacz minę jako flagę; flaga = liczba, otwórz pozostały blok","Marca = número: abrir resto do bloco, marcar mina como bandeira; bandeira = número, abrir resto do bloco","Marchează = număr: deschide bloc rămas, marchează mină ca steag; steag = număr, deschide bloc rămas","Отметка = число: открыть ост. блок, отметить мину флагом; флаг = число, открыть ост. блок","标记 = 数字：打开剩余方块，将地雷标记为旗帜；旗帜 = 数字，打开剩余方块","Marca = número: abrir resto del bloque, marcar mina como bandera; bandera = número, abrir resto del bloque","Markera = nummer: öppna återstående ruta, markera mina som flagga; flagga = nummer, öppna återstående ruta","標記=數字：打開剩餘方塊，將地雷標記為旗標；旗標=數字，打開剩餘方塊","ทำเครื่องหมาย = ตัวเลข: เปิดบล็อกที่เหลือ, ทำเครื่องหมายที่ระเบิดเป็นธง; ธง = ตัวเลข, เปิดบล็อกที่เหลือ","İşaret = numara: kalan bloğu açın, mayını bayrak olarak işaretleyin; bayrak = numara, kalan bloğu açın","Позначка = число: відкрити залишок блоку, позначити міну як прапор; прапор = число, відкрити залишок блоку","Đánh dấu = số: mở ô còn lại, đánh dấu mìn là cờ; cờ = số, mở ô còn lại"
"الكتلة هي لغم: إضافة صفين في الأعلى، تمييز اللغم كعلم","Bloco é mina: adicionar duas linhas no topo, marcar mina como bandeira","Блок е мина: добави два реда горе, мина маркирай като флаг","Blok je mina: přidat dva řady nahoru, označit minu jako vlajku","Blok er mine: tilføj to rækker øverst, markér mine som flag","Blok is mijn: voeg twee rijen bovenaan toe, markeer mijn als vlag","Block is mine: add two row top, mine mark as flag","Palikka on miina: lisää kaksi riviä yläpuolelle, merkitse miina lipulla","Bloc est mine: ajouter deux lignes en haut, marquer mine comme drapeau","Block ist Mine: zwei Reihen oben hinzufügen, Mine als Flagge markieren","Μπλοκ είναι μίνα: προσθ. δύο γραμμές πάνω, σημαία σε μίνα","Blokk akna: adj két sort felül, akna jelöl flag-ként","Blocco è mina: aggiungi due righe in alto, segna mina come bandiera","ブロックが地雷の場合：上に2行を追加、地雷を旗印としてマーク","블록이 지뢰인 경우: 상단에 두 줄 추가, 지뢰를 깃발로 표시","Bloque es mina: añadir dos filas arriba, marca mina como bandera","Blokken er en mine: legg til to rader på toppen, merk mine som flagg","Blok to mina: dodaj dwie linie u góry, oznacz minę jako flagę","Bloco é mina: adicionar duas linhas acima, marcar mina como bandeira","Bloc este mină: adaugă două rânduri sus, marchează mină ca steag","Блок - мина: добавить две строки вверху, отметить мину флагом","方块是地雷：顶部添加两行，将地雷标记为旗帜","Bloque es mina: añadir dos filas arriba, marcar mina como bandera","Ruta är mina: lägg till två rader på toppen, markera mina som flagga","方塊是地雷：頂部添加兩行，將地雷標記為旗標","บล็อกคือที่ระเบิด: เพิ่ม 2 แถวด้านบน, ทำเครื่องหมายที่ระเบิดเป็นธง","Blok mayınsa: üste iki satır ekleyin, mayını bayrak olarak işaretleyin","Блок - міна: додати два ряди вгору, позначити міну як прапор","Ô là mìn: thêm hai dòng ở trên, đánh dấu mìn là cờ"
"كل ثانية: إضافة (المستوى / 5) + 1 كتلة ثابتة","A cada segundo: adicionar (nível / 5) + 1 bloco fixo","На всеки секунд: добави ( ниво / 5 ) + 1 фикс. блок","Každou sekundu: přidat ( úroveň / 5 ) + 1 fixní blok","Hvert sekund: tilføj (niveau / 5) + 1 fast blok","Elke seconde: voeg (niveau / 5) + 1 vast blok toe","Every second: add ( level / 5 ) + 1 fix block","Joka sekunti: lisää (taso / 5) + 1 kiinteä palikka","Chaque seconde: ajouter ( niveau / 5 ) + 1 bloc fixe","Jede Sekunde: (Niveau / 5) + 1 festen Block hinzufügen","Κάθε δευτ.: προσθ. ( επίπεδο / 5 ) + 1 σταθ. μπλοκ","Minden másodperc: adj ( szint / 5 ) + 1 fix blokkot","Ogni secondo: aggiungi ( livello / 5 ) + 1 blocco fisso","毎秒：（レベル/ 5）+ 1個の固定ブロックを追加","매초마다: (레벨 / 5) + 1 고정 블록 추가","Cada segundo: añadir ( nivel / 5 ) + 1 bloque fijo","Hvert sekund: legg til (nivå / 5) + 1 fast blokk","Co sekundę: dodaj ( poziom / 5 ) + 1 stały blok","A cada segundo: adicionar ( nível / 5 ) + 1 bloco fixo","La fiecare secundă: adaugă (nivel / 5) + 1 bloc fix","Каждую секунду: добавить ( уровень / 5 ) + 1 фикс. блок","每秒：添加（等级 / 5）+1固定方块","Cada segundo: añadir ( nivel / 5 ) + 1 bloque fijo","Varje sekund: lägg till (nivå / 5) + 1 fast ruta","每秒：添加（級別/5）+1固定方塊","ทุกวินาที: เพิ่ม (ระดับ / 5) + 1 บล็อกคงที่","Her saniye: (seviye / 5) + 1 sabit blok ekleyin","Кожну секунду: додати (рівень / 5) + 1 фікс. блок","Mỗi giây: thêm (cấp độ / 5) + 1 ô cố định"
"كتلة ثابتة تملأ الصف العلوي: الكتلة الثابتة تصبح قابلة للنقر","Bloco fixo preenche linha superior: bloco fixo torna-se clicável","Фикс. блок пълни горен ред: фикс. блок става кликабилен","Fixní blok zaplní horní řadu: fixní blok se stane klikatelným","Fast blok fylder øverste række: fast blok bliver klikbar","Vast blok vult bovenste rij: vast blok wordt klikbaar","Fix block fill top row: fix block become clickable","Kiinteä palikka täyttää ylärivin: kiinteästä palikasta tulee klikattava","Bloc fixe remplit ligne supérieure: bloc fixe devient cliquable","Fester Block füllt obere Reihe: fester Block wird klickbar","Σταθ. μπλοκ γεμίζει πάνω γραμμή: σταθ. μπλοκ γίνεται κλικάβλητο","Fix blokk tölt felső sort: fix blokk kattinthatóvá válik","Blocco fisso riempie riga superiore: blocco fisso diventa cliccabile","固定ブロックが上行を埋める：固定ブロックがクリック可能に","고정 블록이 상단 행을 채움: 고정 블록 클릭 가능","Bloque fijo llena fila superior: bloque fijo se vuelve clickeable","Fast blokk fyller øverste rad: fast blokk blir klikkbar","Stały blok wypełnia górną linię: stały blok staje się klikalny","Bloco fixo preenche linha superior: bloco fixo torna-se clicável","Blocul fix umple rândul de sus: blocul fix devine clicabil","Фикс. блок заполняет верхнюю строку: фикс. блок становится кликабельным","固定方块填满顶行：固定方块变得可以点击","Bloque fijo llena fila superior: bloque fijo se vuelve clickeable","Fast ruta fyller övre raden: fast ruta blir klickbar","固定方塊填滿頂行：固定方塊變得可以點擊","บล็อกคงที่เติมแถวบน: บล็อกคงที่กลายเป็นสามารถคลิกได้","Sabit blok üst satırı doldurur: sabit blok tıklanabilir olur","Фікс. блок заповнює верхній ряд: фікс. блок стає клікабельним","Ô cố định điền dòng trên cùng: ô cố định trở nên có thể nhấp vào"
"جميع الألغام في الصف مُميزة كأعلام: مسح الصف، إضافة نقطة واحدة","Todas as minas na linha marcadas como bandeira: limpar linha, adicionar 1 ponto","Всички мини в ред маркирани като флаг: изчисти ред, добави 1 точка","Všechny miny v řadě označeny jako vlajky: vyčistit řadu, přidat 1 bod","Alle miner i rækken markeret som flag: ryd række, tilføj 1 point","Alle mijnen in rij gemarkeerd als vlag: rij schoon, voeg 1 punt toe","All mine in row mark as flag: row clear, add 1 point","Kaikki rivin miinat merkitty lipuilla: rivi tyhjenee, lisää 1 piste","Toutes mines dans ligne marquées comme drapeau: nettoyer ligne, ajouter 1 point","Alle Minen in Reihe als Flagge markiert: Reihe säubern, 1 Punkt hinzufügen","Όλες μίνες σε γραμμή σημειωμένες: καθαρισμός γραμμής, προσθ. 1 πόντο","Minden akna sorban jelölve flag-ként: töröl sort, adj 1 pontot","Tutte le mine in riga contrassegnate come bandiera: riga pulita, aggiungi 1 punto","行のすべての地雷が旗印としてマークされている：行をクリアし、1ポイントを追加","행의 모든 지뢰가 깃발로 표시됨: 행 클리어, 1점 추가","Todas minas en fila marcadas como bandera: limpiar fila, añadir 1 punto","Alle miner i raden merket som flagg: rydd raden, legg til 1 poeng","Wszystkie miny w linii oznaczone jako flagi: linia jest czyszczona, dodaj 1 punkt","Todas as minas na linha marcadas como bandeira: limpar linha, adicionar 1 ponto","Toate minele din rând marcate ca steag: curăță rând, adaugă 1 punct","Все мины в ряду отмечены флагом: очистить ряд, добавить 1 очко","行中所有地雷被标记为旗帜：清除行，添加1分","Todas las minas en fila marcadas como bandera: limpiar fila, añadir 1 punto","Alla minor i raden markerade som flaggor: rensa raden, lägg till 1 poäng","行中所有地雷被標記為旗標：清除行，添加1分","ทุกที่ระเบิดในแถวทำเครื่องหมายเป็นธง: ล้างแถว, เพิ่ม 1 คะแนน","Satırdaki tüm mayınlar bayrak olarak işaretlendi: satırı temizleyin, 1 puan ekleyin","Всі міни в ряду позначені як прапори: очистити ряд, додати 1 бал","Tất cả mìn trong dòng được đánh dấu là cờ: làm sạch dòng, thêm 1 điểm"
"جميع الكتل غير الألغام في الصف مفتوحة: مسح الصف، إضافة نقطة واحدة","Todos os blocos não-mina na linha abertos: limpar linha, adicionar 1 ponto","Всички блокове не-мини в ред отворени: изчисти ред, добави 1 точка","Všechny ne-minové bloky v řadě otevřené: vyčistit řadu, přidat 1 bod","Alle ikke-miner blokke i rækken åbnet: ryd række, tilføj 1 point","Alle niet-mijn blokken in rij geopend: rij schoon, voeg 1 punt toe","All non-mine block in row open: row clear, add 1 point","Kaikki rivin miinattomat palikat avattu: rivi tyhjenee, lisää 1 piste","Tous blocs non-mines dans ligne ouverts: nettoyer ligne, ajouter 1 point","Alle Nicht-Minen-Blöcke in Reihe öffnen: Reihe säubern, 1 Punkt hinzufügen","Όλα μη-μίνα μπλοκ σε γραμμή ανοιχτά: καθαρισμός γραμμής, προσθ. 1 πόντο","Minden nem-akna blokk sorban nyitva: töröl sort, adj 1 pontot","Tutti i blocchi non mina in riga aperti: riga pulita, aggiungi 1 punto","行のすべての非地雷ブロックが開いている：行をクリアし、1ポイントを追加","행의 모든 비지뢰 블록이 열림: 행 클리어, 1점 추가","Todos bloques no-mina en fila abiertos: limpiar fila, añadir 1 punto","Alle ikke-mine blokker i raden åpnet: rydd raden, legg til 1 poeng","Wszystkie nie-minowe bloki w linii są otwarte: linia jest czyszczona, dodaj 1 punkt","Todos os blocos não-mina na linha abertos: limpar linha, adicionar 1 ponto","Toate blocurile ne-mină din rând deschise: curăță rând, adaugă 1 punct","Все не-минные блоки в ряду открыты: очистить ряд, добавить 1 очко","行中所有非地雷方块被打开：清除行，添加1分","Todos los bloques no-mina en fila abiertos: limpiar fila, añadir 1 punto","Alla icke-mina rutor i raden öppnade: rensa raden, lägg till 1 poäng","行中所有非地雷方塊被打開：清除行，添加1分","บล็อกทั้งหมดที่ไม่ใช่ที่ระเบิดในแถวถูกเปิด: ล้างแถว, เพิ่ม 1 คะแนน","Satırdaki tüm mayın olmayan bloklar açıldı: satırı temizleyin, 1 puan ekleyin","Всі не-мінні блоки в ряду відкриті: очистити ряд, додати 1 бал","Tất cả ô không phải mìn trong dòng được mở: làm sạch dòng, thêm 1 điểm"
